bstopid,bstopnm,gpsx,gpsy,geometry,index_right,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
167970102,영주삼거리,129.03332177581,35.115355761619,POINT (385370.621237488 281785.1538766161),0.0,26110101,26110,영주동,99.0
169310303,영주삼거리,129.03303030469,35.115282635238,POINT (385344.2107567609 281776.4965894279),0.0,26110101,26110,영주동,99.0
167970301,시민아파트,129.031748556372,35.115140030577,POINT (385227.6644880816 281758.28661335446),0.0,26110101,26110,영주동,99.0
167840102,시민아파트,129.032159888187,35.114921364382,POINT (385265.66483666026 281734.7874156073),0.0,26110101,26110,영주동,99.0
167970302,중앙공원.민주공원입구,129.029762226582,35.114486856198,POINT (385048.029256881 281682.11213757645),0.0,26110101,26110,영주동,99.0
167840101,중앙공원.민주공원입구,129.03008865985,35.114344170943,POINT (385078.1163874441 281666.88569138537),0.0,26110101,26110,영주동,99.0
167840201,중앙공원.민주공원입구,129.029578516758,35.114005509182,POINT (385032.3673153642 281628.3573204863),0.0,26110101,26110,영주동,99.0
167970201,동아아파트,129.030355103465,35.114004521814,POINT (385103.1794175507 281629.6914204754),0.0,26110101,26110,영주동,99.0
168020203,동아아파트,129.030288307279,35.113201093042,POINT (385098.90680635883 281540.41361320415),0.0,26110101,26110,영주동,99.0
167660301,부산터널위,129.031772159183,35.113165978047,POINT (385234.2866198498 281539.27690757345),0.0,26110101,26110,영주동,99.0
167840202,동주파크맨션,129.029474172946,35.111442489781,POINT (385028.6500645807 281343.75439368497),0.0,26110101,26110,영주동,99.0
167830103,동주파크맨션,129.029904167757,35.111348597084,POINT (385068.0710019544 281334.1346812378),0.0,26110101,26110,영주동,99.0
168020202,금호아파트,129.030766971362,35.111523623086,POINT (385146.3486627528 281355.16086436284),0.0,26110101,26110,영주동,99.0
167970202,금호아파트,129.030583564515,35.111110137879,POINT (385130.5606318925 281308.93684523465),0.0,26110101,26110,영주동,99.0
167840203,청운아파트,129.030433596118,35.109601893116,POINT (385120.2985798295 281141.2935474281),0.0,26110101,26110,영주동,99.0
167830102,청운아파트,129.030737193311,35.10961891622,POINT (385147.94381482876 281143.7470635629),0.0,26110101,26110,영주동,99.0
168020201,부산디지털고,129.031718742173,35.109615919644,POINT (385237.45392746734 281145.24026531813),0.0,26110101,26110,영주동,99.0
167970203,부산디지털고,129.032038622986,35.10944083005,POINT (385267.01900197135 281126.4063868598),0.0,26110101,26110,영주동,99.0
