Unnamed: 0,bstopid,bstopnm,arsno,gpsx,gpsy,stoptype,버스노선수
3977,188810105,강동동행정복지센터,92180.0,128.935620098924,35.213908882473,마을,6.0
3978,191280201,강동동행정복지센터,92181.0,128.935575924991,35.214249980479,마을,6.0
3979,191280202,농협공판장,92182.0,128.933774325724,35.211352233563,마을,6.0
3980,191280203,핏대섬새동네,92183.0,128.931571466457,35.207713740385,마을,6.0
3981,191280204,딴치,92184.0,128.929057126331,35.203576613895,마을,6.0
3982,191280205,신덕복지회관,92185.0,128.927596482834,35.201120208381,마을,6.0
3983,192110301,덕계,92186.0,128.922855745578,35.191600046552,마을,6.0
3984,191610201,득천사거리,92187.0,128.921057714709,35.188508827755,마을,2.0
3985,191610202,현대슈퍼,92188.0,128.91872007023,35.181770955463,마을,2.0
3986,191610203,상곡정미소,92189.0,128.916512249025,35.17695545264,마을,2.0
3987,177120201,상곡,92190.0,128.914931932135,35.17187690763,마을,2.0
3988,177110201,중곡,92191.0,128.912873841086,35.164209657665,마을,2.0
3989,209900201,구랑,92200.0,128.857984046758,35.129445551248,마을,2.0
3990,211730301,옥포마을입구,92201.0,128.844112508005,35.116129982054,마을,2.0
3991,211720101,옥포,92202.0,128.842539462166,35.115946536692,마을,2.0
3992,191850101,구랑,92203.0,128.858484165287,35.129175206161,마을,2.0
3993,191940104,장락포,92204.0,128.897112748792,35.134228013763,마을,6.0
3994,191150102,경제자유구역청,92206.0,128.839721373413,35.086804663332,마을,2.0
3995,215220201,부산소프트웨어마이스터고,92207.0,128.904403473651,35.189144777829,마을,8.0
3996,191630101,덕포마을,92209.0,128.909117,35.191881,마을,4.0
3997,192880201,덕계마을,92211.0,128.917292224282,35.194169242283,마을,2.0
3998,192900201,북정마을,92212.0,128.915923588719,35.199527066631,마을,2.0
3999,192930101,중덕마을,92213.0,128.921871886726,35.210435731147,마을,2.0
4000,191290102,대사리1구,92214.0,128.933493250637,35.219202588675,마을,4.0
4001,191290103,대사역.대사리2구,92215.0,128.936728563228,35.218065834899,마을,4.0
4002,191280103,(구)국립농산물품질관리원,92216.0,128.940466809331,35.216819454627,마을,10.0
4003,191280104,대사리3구,92217.0,128.943392430791,35.21583044636,마을,10.0
4004,188770102,대저119안전센터,92221.0,128.976396959136,35.21449707877,마을,6.0
4005,191600201,강서구청,92222.0,128.981524921562,35.212970902079,마을,8.0
4006,192080302,강서구청역,92223.0,128.980945985261,35.211184701969,마을,14.0
4007,191780302,강서체육공원역,92224.0,128.968807045185,35.212374745771,마을,10.0
4008,191780301,대저역,92225.0,128.961365247508,35.213127024904,마을,10.0
4009,191660304,부산교도소,92226.0,128.953147125694,35.213960200064,마을,10.0
4010,191660303,평강,92227.0,128.950503288237,35.214209120508,마을,10.0
4011,191270403,대사리3구,92228.0,128.943881768273,35.216030134482,마을,10.0
4012,191270404,(구)국립농산물품질관리원,92229.0,128.940807908286,35.217062627205,마을,10.0
4013,191280302,대사역.대사리2구,92230.0,128.936473287685,35.218543510693,마을,4.0
4014,191280303,대사리1구,92231.0,128.932927980488,35.219779356712,마을,2.0
4015,192900101,북정마을,92233.0,128.915923145857,35.199251012148,마을,2.0
