역번호,역사명,역위도,역경도,geometry,index_right,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
233,덕천역(2호선),35.210219,129.005673,POINT (382637.32594601606 292260.6742343125),119.0,26320104,26320,덕천동,37.0
234,수정역,35.223356,129.009198,POINT (382928.8664034541 293724.9433466182),117.0,26320102,26320,화명동,36.0
235,화명역,35.236278,129.013918,POINT (383329.5750661916 295167.57727251004),117.0,26320102,26320,화명동,36.0
236,율리역,35.246714,129.012918,POINT (383215.04510212643 296323.7934273865),117.0,26320102,26320,화명동,36.0
237,동원역,35.258656,129.012392,POINT (383140.28644631675 297648.0050526018),116.0,26320101,26320,금곡동,35.0
238,금곡역,35.267248,129.0169054,POINT (383531.70630147675 298609.7884801206),116.0,26320101,26320,금곡동,35.0
239,호포역,35.280406,129.017097,POINT (383519.4464464829 300070.26904902305),,,,,
240,증산역,35.308302,129.010246,POINT (382833.26469006535 303153.19662197685),,,,,
241,부산대양산캠퍼스역,35.316955,129.0139408,POINT (383149.83782016346 304120.2379800317),,,,,
242,남양산역,35.325359,129.019457,POINT (383632.5439411173 305063.03888294956),,,,,
243,양산역,35.33872773,129.026391,POINT (384232.79579989356 306559.44392242766),,,,,
301,수영역(3호선),35.167753,129.11459,POINT (392657.1022086864 287753.97373696644),177.0,26500104,26500,광안동,34.0
302,망미역,35.171528,129.108225,POINT (392068.2252823621 288160.5662299451),177.0,26500104,26500,광안동,34.0
303,배산역,35.173504,129.095498,POINT (390903.94413017435 288355.3247164821),173.0,26470102,26470,연산동,34.0
304,물만골역,35.176808,129.085748,POINT (390007.8745363542 288703.2839781503),173.0,26470102,26470,연산동,34.0
305,연산역(3호선),35.186173,129.081526,POINT (389601.43799952825 289734.4431964123),173.0,26470102,26470,연산동,34.0
306,거제역,35.188589,129.073941,POINT (388904.8406586626 289988.09769040666),172.0,26470101,26470,거제동,49.0
307,종합운동장역,35.19125,129.067504,POINT (388312.29719274427 290271.16663077055),172.0,26470101,26470,거제동,49.0
308,사직역,35.198998,129.064996,POINT (388065.9623310037 291126.20048648847),109.0,26260109,26260,사직동,36.0
309,미남역(3호선),35.205503,129.068061,POINT (388330.1166318892 291853.85876772716),108.0,26260108,26260,온천동,37.0
310,만덕역,35.213,129.036527,POINT (385440.97197585646 292626.45176835696),118.0,26320103,26320,만덕동,33.0
311,남산정역,35.21334,129.023928,POINT (384292.80856208573 292640.72741652146),119.0,26320104,26320,덕천동,37.0
312,숙등역,35.21197,129.012749,POINT (383277.8212391287 292468.0136770777),119.0,26320104,26320,덕천동,37.0
313,덕천역(3호선),35.210215,129.005671,POINT (382637.1527626484 292260.2266868595),119.0,26320104,26320,덕천동,37.0
314,구포역,35.206697,128.996366,POINT (381797.56541393034 291852.7727809729),120.0,26320105,26320,구포동,49.0
315,강서구청역,35.211247,128.981756,POINT (380456.86394579586 292331.0291584412),150.0,26440101,26440,대저1동,92.0
316,체육공원역,35.212577,128.9696515,POINT (379351.5656758251 292456.68821004016),150.0,26440101,26440,대저1동,92.0
317,대저역,35.213386,128.9610488,POINT (378566.34924074775 292530.958310016),150.0,26440101,26440,대저1동,92.0
401,미남역(4호선),35.207116,129.069172,POINT (388427.5775176119 292034.9585883088),108.0,26260108,26260,온천동,37.0
402,동래역(4호선),35.204834,129.077082,POINT (389153.2969478755 291796.76249029126),108.0,26260108,26260,온천동,37.0
403,수안역,35.201828,129.083806,POINT (389772.7183685026 291476.01496683736),106.0,26260106,26260,수안동,39.0
404,낙민역,35.200254,129.090774,POINT (390411.0666550534 291314.6837228521),104.0,26260104,26260,낙민동,38.0
405,충렬사역,35.199859,129.097636,POINT (391037.02275969763 291284.02561583166),102.0,26260102,26260,안락동,40.0
406,명장역,35.205143,129.101517,POINT (391378.1251914542 291877.8590736665),101.0,26260101,26260,명장동,693.0
407,서동역,35.213333,129.107683,POINT (391920.44281963434 292798.59964872897),146.0,26410110,26410,서동,43.0
408,금사역,35.215829,129.115153,POINT (392594.847940123 293090.0434231246),147.0,26410111,26410,금사동,1011.0
409,반여농산물시장역,35.217779,129.124061,POINT (393401.4611355827 293323.74964937207),122.0,26350102,26350,석대동,5.0
410,석대역,35.21811162,129.137179,POINT (394595.28236580687 293386.2909547238),122.0,26350102,26350,석대동,5.0
411,영산대역,35.225777,129.146149,POINT (395393.7658672542 294254.54202567233),121.0,26350101,26350,반송동,6.0
412,윗반송역,35.232506,129.154024,POINT (396094.6487340244 295016.79605379904),121.0,26350101,26350,반송동,6.0
413,고촌역,35.236031,129.1604437,POINT (396670.6548899122 295420.67263255746),191.0,26710330,26710,철마면,2306.0
414,안평역,35.237363,129.171823,POINT (397703.47387911845 295591.0964241352),191.0,26710330,26710,철마면,2306.0
