EMD_NM,버스정거장수,버스노선수,지하철역수,인구수,교통지수
정관읍,219,1394,0,79393,3.8452508407542227
좌동,88,624,1,85011,0.6462928326922398
좌천동,36,180,1,13256,0.49109837054918526
주례동,132,708,2,50179,1.863648139660017
죽동동,3,6,0,388,0.04639175257731959
죽림동,23,66,0,369,4.1138211382113825
중동,78,416,1,42388,0.7662074171935453
중앙동3가,2,50,0,92,1.0869565217391304
중앙동4가,8,146,1,1220,0.9819672131147541
중앙동6가,6,114,0,57,12.0
중앙동7가,3,32,0,0,inf
지사동,73,448,0,10221,3.199686919088152
천성동,35,152,0,783,6.794380587484036
철마면,91,340,2,7531,4.116319213915815
청룡동,24,102,1,8612,0.28773803994426383
청학동,83,366,0,21876,1.3886450905101482
초량동,50,682,2,27832,1.227364185110664
초읍동,54,260,0,20335,0.6904352102286698
초장동,8,36,0,3795,0.07588932806324111
충무동1가,9,94,0,1326,0.6380090497737556
칠산동,8,24,0,2986,0.06430006697923643
토성동3가,2,16,1,657,0.0943683409436834
토성동4가,3,48,0,319,0.45141065830721006
토성동5가,2,14,0,1838,0.015233949945593036
하단동,60,544,1,46235,0.7066075483940738
학장동,63,336,0,26350,0.8033396584440228
화명동,102,404,3,84894,0.48646547459184397
화전동,42,144,0,3544,1.7065462753950338
회동동,16,114,0,2479,0.7357805566760791
광복동1가,0,0,0,60,0.0
광복동2가,0,0,0,23,0.0
광복동3가,0,0,0,26,0.0
남포동2가,0,0,0,54,0.0
남포동3가,0,0,0,7,0.0
동광동2가,0,0,0,72,0.0
동광동4가,0,0,0,96,0.0
보수동3가,0,0,0,2154,0.0
신창동1가,0,0,0,337,0.0
신창동2가,0,0,0,192,0.0
신창동3가,0,0,0,85,0.0
신창동4가,0,0,0,60,0.0
중앙동1가,0,0,0,236,0.0
중앙동2가,0,0,0,394,0.0
중앙동5가,0,0,0,568,0.0
창선동1가,0,0,0,29,0.0
창선동2가,0,0,0,80,0.0
충무동2가,0,0,0,1108,0.0
충무동3가,0,0,0,633,0.0
토성동1가,0,0,0,2702,0.0
토성동2가,0,0,0,945,0.0
